127.0.0.1 - - [14/Sep/2023:23:47:56 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:47:57 +0530] "GET /Filters/ HTTP/1.1" 200 2343
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:47:57 +0530] "GET /Filters/index.css HTTP/1.1" 200 3832
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:47:58 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:48:56 +0530] "GET /Filters/? HTTP/1.1" 200 2343
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:48:56 +0530] "GET /Filters/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:50:38 +0530] "GET /Filters/? HTTP/1.1" 200 2367
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:50:38 +0530] "GET /Filters/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:50:40 +0530] "GET /Filters/Filters/servlet1? HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:51:00 +0530] "GET /Filters/Filters/servlet1? HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:51:03 +0530] "GET /Filters/Filters/servlet1? HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:51:07 +0530] "GET /Filters/Filters/servlet1? HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:51:12 +0530] "GET /Filters/Filters/servlet1? HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:51:25 +0530] "GET /Filters/servlet1? HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:52:49 +0530] "GET /Filters/servlet1? HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:53:03 +0530] "GET /Filters HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:53:03 +0530] "GET /Filters/ HTTP/1.1" 200 2360
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:53:03 +0530] "GET /Filters/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:53:06 +0530] "GET /servlet1? HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:53:10 +0530] "GET /servlet1? HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:53:38 +0530] "GET /Filters/ HTTP/1.1" 200 2359
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:53:39 +0530] "GET /Filters/servlet1? HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:56:33 +0530] "GET /Filters/ HTTP/1.1" 200 2447
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:56:33 +0530] "GET /Filters/index.css HTTP/1.1" 304 -
